TITLE,SERIES,NUM_IN_SERIES,TITLE_CODE,EBOOK_LIST_USD,PPRBK_LIST_USD,EBOOK_ISBN,PPRBK_ISBN,EBOOK_ASIN,KENP,SPLIT_SHARE
A Faetastic Christmas Feast,Free,1,FAE,0.00,,9798223716686,,,,
A Sweet Solo Christmas,Free,1,SOLO,0.00,,9798223141297,,,,
Alone in the Woods: Beloved by the Bear Shifter,Modern Monsters,2,AITW,2.99,13.99,9798227944252,9798227164698,,,
By the River Kyveli: Stalked by the Manticore,Mythic Monsters,1,BTRL,2.99,9.99,9798201507886,9798231599264,,,
Frisky Frolicking: Tails From Honeysuckle Farm,Modern Monsters,1,FF,2.99,13.99,9798224754984,9798224754984,,,
Hers by Moonlight: Claimed by the Billionaire,Femalpha Fatales,1,HBM,5.99,21.99,9798231725243,9798231494262,B0FN1N893Y,575,
Minotaur's Masterpiece: An Evening of Sultry Strokes,Modern Monsters,1.5,MINM,2.99,,9798230411734,,,,
Pet Project: Collared by the Vampire,Modern Monsters,3,PETP,2.99,13.99,9798224036929,9798231455492,,,
The Gentle Dark: An Unexpected Werewolf,Lycanthropology,1,GTLD,3.99,15.99,9798215124659,9798215524978,,,
The Krampuslauf,Free,1,KRMP,0.00,,9798223246473,,,,
Under a Monstrous Moon,Free,1,MOON,0.00,,9798223100263,,,,
Why I Hated You So Much: The Falling of an Angel,Celestial Sin,1,WIHY,2.99,9.99,9798230634928,9798231237951,,,
Yuletide Yearning: A Sapphic Solstice Anthology,Anthology,1,YULE,7.99,19.99,9798232019129,9798232947743,,,0.1112
"Haunted Carnival Hijinks: A Spooky, Spicy Halloween",Adeline,1,HCH,2.99,9.99,,9798232865108,B0FR4X6253,94,
Grow in the Dark: Longest Nightmare of the Year,Adeline,2,GITD,2.99,9.99,,9798232873486,B0G2SJ95NX,95,
