FROM_CUR,TO_CUR,RATE,SOURCE,EFFECTIVE_FROM,EFFECTIVE_TO
USD,USD,1,KDP,2025-09-01,
MXN,USD,0.05576,KDP,2025-09-01,
USD,MXN,17.9341,KDP,2025-09-01,
USD,AUD,1.5252,KDP,2025-09-01,
AUD,USD,0.6557,KDP,2025-09-01,
USD,BRL,6.2857,KDP,2025-09-01,
BRL,USD,0.1587,KDP,2025-09-01,
CAD,USD,0.7130,KDP,2025-09-01,2025-10-01
USD,CAD,1.4026,KDP,2025-09-01,2025-10-01
CAD,USD,0.7325,KDP,2025-10-01,
USD,CAD,1.3652,KDP,2025-10-01,
EUR,USD,1.1546,KDP,2025-09-01,2025-10-01
USD,EUR,0.8661,KDP,2025-09-01,2025-10-01
EUR,USD,1.1862,KDP,2025-10-01,
USD,EUR,0.8430,KDP,2025-10-01,
GBP,USD,1.3211,KDP,2025-09-01,2025-10-01
USD,GBP,0.7569,KDP,2025-09-01,2025-10-01
GBP,USD,1.3489,KDP,2025-10-01,
USD,GBP,0.7413,KDP,2025-10-01,
INR,USD,0.0111,EST,2025-09-01,
USD,INR,90.27,EST,2025-09-01,
JPY,USD,0.0063323,EST,2025-09-01,
USD,JPY,157.92,EST,2025-09-01,
